n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2022-12-02 17:30:00,25.6,n,n,n,3.2,n,n,n,2.8,n,n,n,13.2,n,n,n,17,n,n,n,7,n,n,n,7.8,n,n,n,5.7,n,n,n,1.7,n,n,n,5.5,n,n,n,2,n,n,n,3,n,n,n
2022-12-02 18:30:00,14.4,n,n,n,5.2,n,n,n,5.1,n,n,n,13.1,n,n,n,12,n,n,n,8,n,n,n,13.5,n,n,n,8.5,n,n,n,2.6,n,n,n,12.4,n,n,n,5,n,n,n,2,n,n,n
2022-12-02 19:30:00,10.1,n,n,n,3.2,n,n,n,3.3,n,n,n,12.4,n,n,n,6,n,n,n,5,n,n,n,13.8,n,n,n,6.9,n,n,n,2.1,n,n,n,11.8,n,n,n,9,n,n,n,1,n,n,n
2022-12-02 20:30:00,16,n,n,n,1.1,n,n,n,1.5,n,n,n,11.2,n,n,n,7,n,n,n,5,n,n,n,10.7,n,n,n,7,n,n,n,1.6,n,n,n,14.7,n,n,n,7,n,n,n,2,n,n,n
2022-12-02 21:30:00,25.4,n,n,n,4.9,n,n,n,6.1,n,n,n,9.2,n,n,n,5,n,n,n,2,n,n,n,7.1,n,n,n,5.6,n,n,n,0.8,n,n,n,12.5,n,n,n,5,n,n,n,2,n,n,n
2022-12-02 22:30:00,13.5,n,n,n,n,n,n,n,n,n,n,n,5.1,n,n,n,n,n,n,n,6,n,n,n,5.2,n,n,n,3.4,n,n,n,n,n,n,n,6.1,n,n,n,2,n,n,n,1,n,n,n
2022-12-02 23:30:00,13.6,n,n,n,n,n,n,n,n,n,n,n,3.8,n,n,n,n,n,n,n,5,n,n,n,4.7,n,n,n,2.8,n,n,n,n,n,n,n,3.8,n,n,n,1,n,n,n,1,n,n,n
2022-12-03 00:30:00,10.8,n,n,n,2.5,n,n,n,2.3,n,n,n,5.6,n,n,n,n,n,n,n,3,n,n,n,5.4,n,n,n,2,n,n,n,n,n,n,n,8.2,n,n,n,3,n,n,n,5,n,n,n
2022-12-03 01:30:00,4.3,n,n,n,3.9,n,n,n,3.8,n,n,n,5.6,n,n,n,n,n,n,n,2,n,n,n,6.1,n,n,n,2.7,n,n,n,n,n,n,n,7.4,n,n,n,8,n,n,n,3,n,n,n
2022-12-03 02:30:00,5,n,n,n,1.5,n,n,n,1.3,n,n,n,6.3,n,n,n,n,n,n,n,n,n,n,n,5.7,n,n,n,2.7,n,n,n,n,n,n,n,7.6,n,n,n,6,n,n,n,3,n,n,n
2022-12-03 03:30:00,6.6,n,n,n,2.1,n,n,n,1.9,n,n,n,8.2,n,n,n,5,n,n,n,n,n,n,n,8.1,n,n,n,3.7,n,n,n,n,n,n,n,10.7,n,n,n,11,n,n,n,7,n,n,n
2022-12-03 04:30:00,6.5,n,n,n,3.1,n,n,n,2.6,n,n,n,9.1,n,n,n,7,n,n,n,5,n,n,n,8.3,n,n,n,4.3,n,n,n,0.1,n,n,n,14.8,n,n,n,7,n,n,n,3,n,n,n
2022-12-03 05:30:00,10.2,n,n,n,1.1,n,n,n,1.1,n,n,n,10.3,n,n,n,5,n,n,n,3,n,n,n,13,n,n,n,6,n,n,n,1.3,n,n,n,14.6,n,n,n,3,n,n,n,2,n,n,n
2022-12-03 06:30:00,15.8,n,n,n,n,n,n,n,n,n,n,n,8.6,n,n,n,2,n,n,n,2,n,n,n,5.5,n,n,n,7.7,n,n,n,2.4,n,n,n,12.6,n,n,n,8,n,n,n,3,n,n,n
2022-12-03 07:30:00,12.7,n,n,n,n,n,n,n,1.3,n,n,n,6.5,n,n,n,5,n,n,n,5,n,n,n,5.9,n,n,n,3.3,n,n,n,0,n,n,n,3.4,n,n,n,6,n,n,n,3,n,n,n
2022-12-03 08:30:00,18.4,n,n,n,2.3,n,n,n,3.1,n,n,n,14.5,n,n,n,6,n,n,n,6,n,n,n,8.9,n,n,n,6.2,n,n,n,1.2,n,n,n,9,n,n,n,5,n,n,n,5,n,n,n
2022-12-03 09:30:00,19.7,n,n,n,2.4,n,n,n,3,n,n,n,9.5,n,n,n,3,n,n,n,5,n,n,n,9.2,n,n,n,7,n,n,n,1.6,n,n,n,15.5,n,n,n,6,n,n,n,3,n,n,n
2022-12-03 10:30:00,13.6,n,n,n,n,n,n,n,n,n,n,n,7.3,n,n,n,3,n,n,n,5,n,n,n,3.7,n,n,n,5.7,n,n,n,1,n,n,n,8.7,n,n,n,3,n,n,n,1,n,n,n
2022-12-03 11:30:00,15.6,n,n,n,6.1,n,n,n,5.7,n,n,n,13.7,n,n,n,14,n,n,n,7,n,n,n,6.7,n,n,n,6.8,n,n,n,1.7,n,n,n,7.8,n,n,n,7,n,n,n,1,n,n,n
2022-12-03 12:00:00,n,n,17.5,VM,n,n,4,VM,n,n,3.9,VM,n,n,11.2,VM,n,n,7.5,VM,n,n,5.3,VM,n,n,9.2,VM,n,n,6.1,VM,n,n,n,n,n,n,15.2,VM,n,n,6.9,VM,n,n,3.7,VM
2022-12-03 12:30:00,33.1,n,n,n,6.5,n,n,n,6.9,n,n,n,11.6,n,n,n,9,n,n,n,6,n,n,n,6.8,n,n,n,4.1,n,n,n,n,n,n,n,n,n,n,n,5,n,n,n,3,n,n,n
2022-12-03 13:30:00,45.8,n,n,n,6.8,n,n,n,7.6,n,n,n,9.3,n,n,n,7,n,n,n,5,n,n,n,9.7,n,n,n,3.5,n,n,n,n,n,n,n,2.1,n,n,n,1,n,n,n,5,n,n,n
2022-12-03 14:30:00,16.8,n,n,n,3,n,n,n,4,n,n,n,9.8,n,n,n,5,n,n,n,3,n,n,n,7.8,n,n,n,3.9,n,n,n,n,n,n,n,5.2,n,n,n,2,n,n,n,1,n,n,n
2022-12-03 15:30:00,19.7,n,n,n,3.7,n,n,n,4.3,n,n,n,15.8,n,n,n,6,n,n,n,5,n,n,n,8.9,n,n,n,7.4,n,n,n,0.7,n,n,n,19.7,n,n,n,5,n,n,n,n,n,n,n
2022-12-03 16:30:00,22.8,n,n,n,6.9,n,n,n,7.1,n,n,n,13.6,n,n,n,8,n,n,n,3,n,n,n,11.2,n,n,n,8.3,n,n,n,2,n,n,n,13.5,n,n,n,5,n,n,n,1,n,n,n
2022-12-03 17:30:00,17.8,n,n,n,4.8,n,n,n,4.9,n,n,n,16.2,n,n,n,7,n,n,n,7,n,n,n,14.9,n,n,n,11.3,n,n,n,5.1,n,n,n,14.3,n,n,n,8,n,n,n,3,n,n,n
