2023-06-02 03:30:00,n,28.2,n,n,n,33,n,n,n,7,n,n,n,0.4,n,n,n,122.9,n,n,n,6.2,n,n,n,2,n,n,n,8,n,n,n,0.5,n,n,n,208.4,n,n,n,4,n,n,n,5.5,n,n,n,2.3,n,n,n,0.5,n,n,n,156.8,n,n,n,7.6,n,n,n,18,n,n,n,9,n,n,n,0.5,n,n,n,212,n,n,n
2023-06-02 04:30:00,n,23.2,n,n,n,18,n,n,n,7,n,n,n,0.4,n,n,n,245.5,n,n,n,8.7,n,n,n,7,n,n,n,6,n,n,n,0.5,n,n,n,220.6,n,n,n,4.2,n,n,n,5.1,n,n,n,2,n,n,n,0.5,n,n,n,131.3,n,n,n,8.6,n,n,n,9,n,n,n,6,n,n,n,0.5,n,n,n,307.6,n,n,n
2023-06-02 05:30:00,n,16.9,n,n,n,16,n,n,n,3,n,n,n,0.4,n,n,n,88.5,n,n,n,19,n,n,n,11,n,n,n,6,n,n,n,0.4,n,n,n,227.8,n,n,n,6.3,n,n,n,5.3,n,n,n,2.1,n,n,n,0.5,n,n,n,146,n,n,n,19,n,n,n,13,n,n,n,3,n,n,n,0.4,n,n,n,57.8,n,n,n
2023-06-02 06:30:00,n,44.1,n,n,n,34,n,n,n,7,n,n,n,0.4,n,n,n,95.9,n,n,n,74.7,n,n,n,46,n,n,n,8,n,n,n,0.5,n,n,n,108.3,n,n,n,22.3,n,n,n,9.9,n,n,n,7.1,n,n,n,0.5,n,n,n,140.6,n,n,n,49,n,n,n,33,n,n,n,7,n,n,n,0.4,n,n,n,66.4,n,n,n
2023-06-02 07:30:00,n,71.9,n,n,n,22,n,n,n,7,n,n,n,0.4,n,n,n,111,n,n,n,114,n,n,n,64,n,n,n,18,n,n,n,0.5,n,n,n,64.6,n,n,n,18.3,n,n,n,14.8,n,n,n,11.4,n,n,n,0.5,n,n,n,129.9,n,n,n,126,n,n,n,46,n,n,n,8,n,n,n,0.5,n,n,n,26.2,n,n,n
2023-06-02 08:30:00,n,42.3,n,n,n,19,n,n,n,7,n,n,n,0.6,n,n,n,205.2,n,n,n,64.4,n,n,n,33,n,n,n,12,n,n,n,0.6,n,n,n,84.6,n,n,n,35.3,n,n,n,24.7,n,n,n,21.6,n,n,n,0.6,n,n,n,108.8,n,n,n,93.4,n,n,n,31,n,n,n,9,n,n,n,0.6,n,n,n,87,n,n,n
2023-06-02 09:30:00,n,24.2,n,n,n,14,n,n,n,5,n,n,n,0.7,n,n,n,135.9,n,n,n,31.3,n,n,n,20,n,n,n,11,n,n,n,0.8,n,n,n,65.6,n,n,n,13,n,n,n,11.4,n,n,n,6.2,n,n,n,1.2,n,n,n,45,n,n,n,38.4,n,n,n,14,n,n,n,9,n,n,n,0.9,n,n,n,6,n,n,n
2023-06-02 10:30:00,n,24.5,n,n,n,18,n,n,n,2,n,n,n,0.8,n,n,n,130.2,n,n,n,28.5,n,n,n,19,n,n,n,12,n,n,n,1.1,n,n,n,115.2,n,n,n,9.8,n,n,n,14.3,n,n,n,3.5,n,n,n,1.5,n,n,n,45.4,n,n,n,27.3,n,n,n,17,n,n,n,7,n,n,n,1.5,n,n,n,17.2,n,n,n
2023-06-02 11:30:00,n,33.1,n,n,n,22,n,n,n,5,n,n,n,1.1,n,n,n,67.7,n,n,n,38.1,n,n,n,9,n,n,n,7,n,n,n,1.3,n,n,n,89.7,n,n,n,4,n,n,n,13.5,n,n,n,4.9,n,n,n,1.2,n,n,n,51.2,n,n,n,28.8,n,n,n,14,n,n,n,9,n,n,n,1.2,n,n,n,296.3,n,n,n
2023-06-02 12:00:00,n,n,n,43.6,VM,n,n,28.9,VM,n,n,6.7,VM,n,n,0.7,VM,n,n,180.5,VM,n,n,35.4,VM,n,n,21.1,VM,n,n,9.6,VM,n,n,0.7,VM,n,n,167.9,VM,n,n,15.5,VM,n,n,11.6,VM,n,n,8.4,VM,n,n,0.9,VM,n,n,160.3,VM,n,n,50.7,VM,n,n,26.1,VM,n,n,10.6,VM,n,n,0.9,VM,n,n,181.6,VM
2023-06-02 12:30:00,n,20.1,n,n,n,14,n,n,n,8,n,n,n,1.2,n,n,n,203.6,n,n,n,31,n,n,n,14,n,n,n,7,n,n,n,1.1,n,n,n,108.6,n,n,n,9.4,n,n,n,8.4,n,n,n,4.3,n,n,n,2,n,n,n,104.7,n,n,n,21.7,n,n,n,16,n,n,n,8,n,n,n,1.6,n,n,n,197.6,n,n,n
2023-06-02 13:30:00,n,15.8,n,n,n,12,n,n,n,2,n,n,n,1.3,n,n,n,159.8,n,n,n,59.4,n,n,n,46,n,n,n,7,n,n,n,1.2,n,n,n,101.8,n,n,n,5.2,n,n,n,11.2,n,n,n,4.1,n,n,n,2,n,n,n,125,n,n,n,35.3,n,n,n,12,n,n,n,6,n,n,n,1.4,n,n,n,178.3,n,n,n
2023-06-02 14:30:00,n,12.2,n,n,n,14,n,n,n,n,n,n,n,1.4,n,n,n,167.2,n,n,n,22.1,n,n,n,16,n,n,n,6,n,n,n,1.1,n,n,n,112.6,n,n,n,8,n,n,n,14.8,n,n,n,8.6,n,n,n,1.8,n,n,n,138.3,n,n,n,12.2,n,n,n,8,n,n,n,3,n,n,n,1.3,n,n,n,190.7,n,n,n
2023-06-02 15:30:00,n,11.5,n,n,n,13,n,n,n,2,n,n,n,1,n,n,n,148.7,n,n,n,39.4,n,n,n,23,n,n,n,6,n,n,n,1,n,n,n,127.3,n,n,n,11,n,n,n,12,n,n,n,6.6,n,n,n,1.8,n,n,n,163.6,n,n,n,9,n,n,n,11,n,n,n,3,n,n,n,1.2,n,n,n,186.4,n,n,n
2023-06-02 16:30:00,n,38.1,n,n,n,25,n,n,n,2,n,n,n,1.2,n,n,n,144.8,n,n,n,54.2,n,n,n,28,n,n,n,14,n,n,n,1.1,n,n,n,112.7,n,n,n,18.7,n,n,n,15.8,n,n,n,15.6,n,n,n,2,n,n,n,141.8,n,n,n,19.6,n,n,n,12,n,n,n,5,n,n,n,2.5,n,n,n,166.3,n,n,n
2023-06-02 17:30:00,n,63.3,n,n,n,39,n,n,n,6,n,n,n,0.5,n,n,n,158.7,n,n,n,44.1,n,n,n,16,n,n,n,8,n,n,n,0.5,n,n,n,242.5,n,n,n,42.1,n,n,n,11.7,n,n,n,21.9,n,n,n,0.8,n,n,n,334.2,n,n,n,32.9,n,n,n,22,n,n,n,11,n,n,n,1.1,n,n,n,174,n,n,n
2023-06-02 18:30:00,n,98.2,n,n,n,77,n,n,n,9,n,n,n,0.4,n,n,n,294.8,n,n,n,35.4,n,n,n,19,n,n,n,11,n,n,n,0.5,n,n,n,259.2,n,n,n,32.1,n,n,n,18,n,n,n,16.2,n,n,n,0.6,n,n,n,336.1,n,n,n,71.7,n,n,n,47,n,n,n,25,n,n,n,0.8,n,n,n,199.1,n,n,n
2023-06-02 19:30:00,n,109.5,n,n,n,69,n,n,n,14,n,n,n,0.5,n,n,n,342.9,n,n,n,26.8,n,n,n,14,n,n,n,8,n,n,n,0.5,n,n,n,249.5,n,n,n,28.2,n,n,n,17,n,n,n,14.1,n,n,n,0.6,n,n,n,328.7,n,n,n,99.7,n,n,n,52,n,n,n,23,n,n,n,0.6,n,n,n,234.6,n,n,n
2023-06-02 20:30:00,n,99.5,n,n,n,48,n,n,n,11,n,n,n,0.5,n,n,n,326.2,n,n,n,24.2,n,n,n,18,n,n,n,7,n,n,n,0.5,n,n,n,229.1,n,n,n,21.6,n,n,n,13.3,n,n,n,10.7,n,n,n,0.5,n,n,n,326.5,n,n,n,112.9,n,n,n,56,n,n,n,25,n,n,n,0.4,n,n,n,349.8,n,n,n
2023-06-02 21:30:00,n,57.5,n,n,n,33,n,n,n,8,n,n,n,0.4,n,n,n,310.5,n,n,n,21.5,n,n,n,13,n,n,n,11,n,n,n,0.5,n,n,n,215.9,n,n,n,22.4,n,n,n,12.6,n,n,n,10.2,n,n,n,0.4,n,n,n,17.6,n,n,n,107,n,n,n,45,n,n,n,18,n,n,n,0.4,n,n,n,344.4,n,n,n
2023-06-02 22:30:00,n,73,n,n,n,57,n,n,n,13,n,n,n,0.4,n,n,n,329.5,n,n,n,29.4,n,n,n,19,n,n,n,12,n,n,n,0.4,n,n,n,215.2,n,n,n,19.8,n,n,n,12.3,n,n,n,10.2,n,n,n,0.4,n,n,n,138,n,n,n,127.1,n,n,n,58,n,n,n,22,n,n,n,0.4,n,n,n,348.6,n,n,n
2023-06-02 23:30:00,n,74.2,n,n,n,38,n,n,n,8,n,n,n,0.4,n,n,n,7.5,n,n,n,44.2,n,n,n,34,n,n,n,14,n,n,n,0.4,n,n,n,202,n,n,n,13.3,n,n,n,9.3,n,n,n,6.4,n,n,n,0.4,n,n,n,144.4,n,n,n,109.6,n,n,n,41,n,n,n,14,n,n,n,0.5,n,n,n,10.6,n,n,n
2023-06-03 00:30:00,n,63.9,n,n,n,41,n,n,n,13,n,n,n,0.4,n,n,n,86.1,n,n,n,42.3,n,n,n,34,n,n,n,13,n,n,n,0.4,n,n,n,242.6,n,n,n,16.3,n,n,n,11.1,n,n,n,8.9,n,n,n,0.4,n,n,n,134.2,n,n,n,75,n,n,n,31,n,n,n,17,n,n,n,0.5,n,n,n,21.4,n,n,n
2023-06-03 01:30:00,n,69.9,n,n,n,39,n,n,n,17,n,n,n,0.4,n,n,n,83.9,n,n,n,38.9,n,n,n,30,n,n,n,9,n,n,n,0.5,n,n,n,248.6,n,n,n,13.9,n,n,n,11.9,n,n,n,9.5,n,n,n,0.4,n,n,n,136.4,n,n,n,63,n,n,n,27,n,n,n,8,n,n,n,0.4,n,n,n,39.2,n,n,n
2023-06-03 02:30:00,n,44.4,n,n,n,19,n,n,n,9,n,n,n,0.4,n,n,n,153.1,n,n,n,30.3,n,n,n,23,n,n,n,13,n,n,n,0.4,n,n,n,234.9,n,n,n,7.4,n,n,n,7.1,n,n,n,3.7,n,n,n,0.4,n,n,n,130.6,n,n,n,62,n,n,n,35,n,n,n,13,n,n,n,0.4,n,n,n,59.7,n,n,n
2023-06-03 03:30:00,n,37,n,n,n,27,n,n,n,5,n,n,n,0.4,n,n,n,123.7,n,n,n,31.5,n,n,n,28,n,n,n,9,n,n,n,0.5,n,n,n,261.2,n,n,n,7.7,n,n,n,5.2,n,n,n,2.4,n,n,n,0.4,n,n,n,335.4,n,n,n,50,n,n,n,25,n,n,n,8,n,n,n,0.4,n,n,n,326.6,n,n,n
2023-06-03 04:30:00,n,48,n,n,n,28,n,n,n,2,n,n,n,0.4,n,n,n,78.3,n,n,n,39.8,n,n,n,28,n,n,n,9,n,n,n,0.4,n,n,n,326.7,n,n,n,15.4,n,n,n,7.9,n,n,n,5.1,n,n,n,0.4,n,n,n,128.1,n,n,n,51,n,n,n,27,n,n,n,8,n,n,n,0.4,n,n,n,60.1,n,n,n
2023-06-03 05:30:00,n,45.5,n,n,n,22,n,n,n,6,n,n,n,0.4,n,n,n,83.6,n,n,n,43.2,n,n,n,24,n,n,n,9,n,n,n,0.7,n,n,n,5.4,n,n,n,16.9,n,n,n,10.9,n,n,n,7.9,n,n,n,0.4,n,n,n,99.3,n,n,n,59,n,n,n,31,n,n,n,12,n,n,n,0.5,n,n,n,26,n,n,n
