n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2024-07-02 12:30:00,49,n,n,n,24,n,n,n,18,n,n,n,29.4,n,n,n,22,n,n,n,11,n,n,n,37,n,n,n,34,n,n,n,14,n,n,n,53,n,n,n,33,n,n,n,18,n,n,n
2024-07-02 13:30:00,58,n,n,n,39,n,n,n,13,n,n,n,34.4,n,n,n,34,n,n,n,14,n,n,n,38,n,n,n,33,n,n,n,18,n,n,n,73,n,n,n,41,n,n,n,23,n,n,n
2024-07-02 14:30:00,51,n,n,n,29,n,n,n,14,n,n,n,36.1,n,n,n,33,n,n,n,14,n,n,n,38,n,n,n,25,n,n,n,19,n,n,n,67,n,n,n,39,n,n,n,n,n,n,n
2024-07-02 15:30:00,50,n,n,n,33,n,n,n,18,n,n,n,45.8,n,n,n,40,n,n,n,12,n,n,n,47,n,n,n,36,n,n,n,13,n,n,n,104,n,n,n,53,n,n,n,24,n,n,n
2024-07-02 16:30:00,59,n,n,n,42,n,n,n,17,n,n,n,48.2,n,n,n,44,n,n,n,18,n,n,n,47,n,n,n,30,n,n,n,16,n,n,n,134,n,n,n,59,n,n,n,22,n,n,n
2024-07-02 17:30:00,133,n,n,n,62,n,n,n,22,n,n,n,60.7,n,n,n,48,n,n,n,13,n,n,n,113,n,n,n,63,n,n,n,21,n,n,n,106,n,n,n,47,n,n,n,18,n,n,n
2024-07-02 18:30:00,129,n,n,n,77,n,n,n,16,n,n,n,53.2,n,n,n,44,n,n,n,18,n,n,n,167,n,n,n,78,n,n,n,29,n,n,n,101,n,n,n,50,n,n,n,24,n,n,n
2024-07-02 19:30:00,100,n,n,n,55,n,n,n,16,n,n,n,66.8,n,n,n,57,n,n,n,22,n,n,n,129,n,n,n,67,n,n,n,26,n,n,n,88,n,n,n,55,n,n,n,29,n,n,n
2024-07-02 20:30:00,123,n,n,n,73,n,n,n,24,n,n,n,44.4,n,n,n,31,n,n,n,17,n,n,n,95,n,n,n,56,n,n,n,24,n,n,n,85,n,n,n,50,n,n,n,20,n,n,n
2024-07-02 21:30:00,156,n,n,n,88,n,n,n,20,n,n,n,34.5,n,n,n,31,n,n,n,13,n,n,n,64,n,n,n,47,n,n,n,22,n,n,n,144,n,n,n,78,n,n,n,31,n,n,n
2024-07-02 22:30:00,135,n,n,n,64,n,n,n,20,n,n,n,63.2,n,n,n,52,n,n,n,22,n,n,n,59,n,n,n,39,n,n,n,18,n,n,n,111,n,n,n,57,n,n,n,31,n,n,n
2024-07-02 23:30:00,123,n,n,n,59,n,n,n,20,n,n,n,65.7,n,n,n,51,n,n,n,20,n,n,n,52,n,n,n,35,n,n,n,14,n,n,n,85,n,n,n,51,n,n,n,28,n,n,n
2024-07-03 00:30:00,122,n,n,n,62,n,n,n,19,n,n,n,62.9,n,n,n,55,n,n,n,19,n,n,n,43,n,n,n,31,n,n,n,17,n,n,n,83,n,n,n,52,n,n,n,23,n,n,n
2024-07-03 01:30:00,83,n,n,n,44,n,n,n,23,n,n,n,56.2,n,n,n,50,n,n,n,23,n,n,n,38,n,n,n,33,n,n,n,15,n,n,n,77,n,n,n,40,n,n,n,25,n,n,n
2024-07-03 02:30:00,94,n,n,n,47,n,n,n,23,n,n,n,54.7,n,n,n,51,n,n,n,23,n,n,n,37,n,n,n,33,n,n,n,16,n,n,n,72,n,n,n,44,n,n,n,22,n,n,n
2024-07-03 03:30:00,91,n,n,n,53,n,n,n,23,n,n,n,51.9,n,n,n,47,n,n,n,17,n,n,n,34,n,n,n,31,n,n,n,18,n,n,n,70,n,n,n,48,n,n,n,24,n,n,n
2024-07-03 04:30:00,59,n,n,n,38,n,n,n,17,n,n,n,50.7,n,n,n,40,n,n,n,19,n,n,n,42,n,n,n,30,n,n,n,17,n,n,n,63,n,n,n,41,n,n,n,23,n,n,n
2024-07-03 05:30:00,72,n,n,n,48,n,n,n,22,n,n,n,55.5,n,n,n,46,n,n,n,24,n,n,n,43,n,n,n,36,n,n,n,17,n,n,n,71,n,n,n,45,n,n,n,22,n,n,n
2024-07-03 06:30:00,164,n,n,n,78,n,n,n,25,n,n,n,87.5,n,n,n,58,n,n,n,22,n,n,n,73,n,n,n,48,n,n,n,17,n,n,n,74,n,n,n,41,n,n,n,25,n,n,n
2024-07-03 07:30:00,99,n,n,n,58,n,n,n,24,n,n,n,101.3,n,n,n,79,n,n,n,29,n,n,n,142,n,n,n,72,n,n,n,23,n,n,n,132,n,n,n,69,n,n,n,28,n,n,n
