n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2023-05-04 02:30:00,39.6,n,n,n,27,n,n,n,9,n,n,n,40.7,n,n,n,29,n,n,n,7,n,n,n,19.5,n,n,n,8.7,n,n,n,7.1,n,n,n,42.2,n,n,n,77,n,n,n,12,n,n,n
2023-05-04 03:30:00,37.5,n,n,n,29,n,n,n,13,n,n,n,32.1,n,n,n,24,n,n,n,13,n,n,n,18.6,n,n,n,8.1,n,n,n,6.2,n,n,n,42.1,n,n,n,36,n,n,n,12,n,n,n
2023-05-04 04:30:00,36.8,n,n,n,29,n,n,n,7,n,n,n,37,n,n,n,28,n,n,n,9,n,n,n,18.7,n,n,n,9.2,n,n,n,7.1,n,n,n,35.8,n,n,n,11,n,n,n,9,n,n,n
2023-05-04 05:30:00,96.5,n,n,n,17,n,n,n,6,n,n,n,29.3,n,n,n,16,n,n,n,11,n,n,n,21.4,n,n,n,11,n,n,n,8.7,n,n,n,31,n,n,n,14,n,n,n,8,n,n,n
2023-05-04 06:30:00,67.5,n,n,n,16,n,n,n,12,n,n,n,61.4,n,n,n,40,n,n,n,11,n,n,n,25.6,n,n,n,11.7,n,n,n,9.1,n,n,n,39.7,n,n,n,8,n,n,n,11,n,n,n
2023-05-04 07:30:00,47.6,n,n,n,17,n,n,n,9,n,n,n,50.4,n,n,n,27,n,n,n,12,n,n,n,25.1,n,n,n,15,n,n,n,11.3,n,n,n,34.6,n,n,n,9,n,n,n,7,n,n,n
2023-05-04 08:30:00,30.5,n,n,n,22,n,n,n,9,n,n,n,30.2,n,n,n,18,n,n,n,8,n,n,n,12.7,n,n,n,35.5,n,n,n,10.7,n,n,n,24.7,n,n,n,13,n,n,n,7,n,n,n
2023-05-04 09:30:00,32.3,n,n,n,24,n,n,n,7,n,n,n,24.2,n,n,n,17,n,n,n,9,n,n,n,17.9,n,n,n,22,n,n,n,14.1,n,n,n,23.2,n,n,n,7,n,n,n,6,n,n,n
2023-05-04 10:30:00,42.1,n,n,n,25,n,n,n,6,n,n,n,21.6,n,n,n,16,n,n,n,9,n,n,n,5.1,n,n,n,11.7,n,n,n,5.7,n,n,n,13.6,n,n,n,8,n,n,n,7,n,n,n
2023-05-04 11:30:00,30,n,n,n,20,n,n,n,5,n,n,n,34.8,n,n,n,17,n,n,n,7,n,n,n,7,n,n,n,7,n,n,n,3.7,n,n,n,10.3,n,n,n,9,n,n,n,5,n,n,n
2023-05-04 12:00:00,n,n,58.5,VM,n,n,31.1,VM,n,n,9.2,VM,n,n,43.5,VM,n,n,28.5,VM,n,n,10,VM,n,n,30.9,VM,n,n,12.3,VM,n,n,9.8,VM,n,n,35.9,VM,n,n,26.8,VM,n,n,8.5,VM
2023-05-04 12:30:00,22.5,n,n,n,16,n,n,n,3,n,n,n,12.2,n,n,n,11,n,n,n,6,n,n,n,n,n,n,n,7.4,n,n,n,2.4,n,n,n,5.5,n,n,n,9,n,n,n,2,n,n,n
2023-05-04 13:30:00,29.5,n,n,n,23,n,n,n,6,n,n,n,18.9,n,n,n,9,n,n,n,5,n,n,n,208.4,n,n,n,12.5,n,n,n,8.1,n,n,n,3.3,n,n,n,12,n,n,n,5,n,n,n
