n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n,Partículas Totais em Suspensão,n,n,n,Partículas Inaláveis (<10µm),n,n,n,Partículas Inaláveis <2.5µm,n,n,n
n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n,"1 h/horária/3,0 m",n,Médias de 24 h Simples,n
n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2023-04-02 12:00:00,n,n,30.8,VM,n,n,21.3,VM,n,n,12.2,VM,n,n,27.3,VM,n,n,21.8,VM,n,n,9.8,VM,n,n,17.8,VM,n,n,10.6,VM,n,n,7.8,VM,n,n,26.4,VM,n,n,18.4,VM,n,n,11.7,VM
2023-04-02 12:30:00,20.1,n,n,n,14,n,n,n,11,n,n,n,23.6,n,n,n,22,n,n,n,6,n,n,n,11.1,n,n,n,10.8,n,n,n,6.3,n,n,n,19.8,n,n,n,20,n,n,n,11,n,n,n
2023-04-02 13:30:00,16.1,n,n,n,16,n,n,n,13,n,n,n,23.7,n,n,n,16,n,n,n,8,n,n,n,15.3,n,n,n,8.2,n,n,n,4.9,n,n,n,12.2,n,n,n,12,n,n,n,6,n,n,n
2023-04-02 14:30:00,17.1,n,n,n,11,n,n,n,11,n,n,n,20.5,n,n,n,14,n,n,n,6,n,n,n,3,n,n,n,6.2,n,n,n,4.2,n,n,n,10.6,n,n,n,16,n,n,n,8,n,n,n
2023-04-02 15:30:00,13.9,n,n,n,8,n,n,n,7,n,n,n,20.9,n,n,n,14,n,n,n,6,n,n,n,13.2,n,n,n,8.8,n,n,n,4.3,n,n,n,7,n,n,n,9,n,n,n,11,n,n,n
2023-04-02 16:30:00,20.3,n,n,n,14,n,n,n,11,n,n,n,21.7,n,n,n,13,n,n,n,3,n,n,n,10.7,n,n,n,9.7,n,n,n,5.1,n,n,n,14.2,n,n,n,9,n,n,n,6,n,n,n
2023-04-02 17:30:00,39,n,n,n,30,n,n,n,13,n,n,n,46.4,n,n,n,30,n,n,n,n,n,n,n,17.2,n,n,n,10,n,n,n,7.1,n,n,n,31.1,n,n,n,19,n,n,n,9,n,n,n
2023-04-02 18:30:00,33,n,n,n,17,n,n,n,8,n,n,n,23.3,n,n,n,12,n,n,n,7,n,n,n,20.3,n,n,n,9.5,n,n,n,6.6,n,n,n,28,n,n,n,9,n,n,n,11,n,n,n
2023-04-02 19:30:00,15.7,n,n,n,16,n,n,n,7,n,n,n,12.7,n,n,n,16,n,n,n,7,n,n,n,9.5,n,n,n,5.9,n,n,n,4.2,n,n,n,15.4,n,n,n,8,n,n,n,7,n,n,n
2023-04-02 20:30:00,22.6,n,n,n,20,n,n,n,11,n,n,n,15,n,n,n,13,n,n,n,6,n,n,n,8.3,n,n,n,4.9,n,n,n,3.9,n,n,n,8.3,n,n,n,9,n,n,n,7,n,n,n
2023-04-02 21:30:00,16.4,n,n,n,13,n,n,n,13,n,n,n,12.7,n,n,n,18,n,n,n,9,n,n,n,14,n,n,n,5.2,n,n,n,3.9,n,n,n,6.4,n,n,n,8,n,n,n,8,n,n,n
2023-04-02 22:30:00,30.3,n,n,n,20,n,n,n,9,n,n,n,23.2,n,n,n,18,n,n,n,7,n,n,n,11.8,n,n,n,3.7,n,n,n,3.6,n,n,n,9.1,n,n,n,11,n,n,n,8,n,n,n
2023-04-02 23:30:00,14.8,n,n,n,17,n,n,n,6,n,n,n,12.8,n,n,n,16,n,n,n,n,n,n,n,12.5,n,n,n,3.2,n,n,n,3,n,n,n,9.8,n,n,n,13,n,n,n,11,n,n,n
2023-04-03 00:30:00,22.8,n,n,n,12,n,n,n,6,n,n,n,18.9,n,n,n,12,n,n,n,11,n,n,n,10.1,n,n,n,1.6,n,n,n,2.5,n,n,n,11.5,n,n,n,13,n,n,n,6,n,n,n
2023-04-03 01:30:00,21.8,n,n,n,11,n,n,n,7,n,n,n,14.5,n,n,n,18,n,n,n,9,n,n,n,13,n,n,n,2.9,n,n,n,2.6,n,n,n,13.2,n,n,n,9,n,n,n,7,n,n,n
2023-04-03 02:30:00,22.8,n,n,n,19,n,n,n,8,n,n,n,12.8,n,n,n,12,n,n,n,7,n,n,n,11.6,n,n,n,2.5,n,n,n,2.7,n,n,n,10.9,n,n,n,12,n,n,n,12,n,n,n
2023-04-03 03:30:00,30.4,n,n,n,19,n,n,n,16,n,n,n,13.4,n,n,n,9,n,n,n,6,n,n,n,9.9,n,n,n,7.8,n,n,n,4.1,n,n,n,9.8,n,n,n,12,n,n,n,8,n,n,n
2023-04-03 04:30:00,28.9,n,n,n,9,n,n,n,7,n,n,n,15.3,n,n,n,16,n,n,n,6,n,n,n,12.6,n,n,n,5,n,n,n,3.7,n,n,n,10.2,n,n,n,8,n,n,n,6,n,n,n
2023-04-03 05:30:00,20.1,n,n,n,13,n,n,n,7,n,n,n,20,n,n,n,19,n,n,n,8,n,n,n,19.5,n,n,n,12.1,n,n,n,6.9,n,n,n,10.5,n,n,n,9,n,n,n,6,n,n,n
2023-04-03 06:30:00,19.6,n,n,n,12,n,n,n,9,n,n,n,27.5,n,n,n,20,n,n,n,8,n,n,n,20.4,n,n,n,11.7,n,n,n,5.8,n,n,n,13,n,n,n,12,n,n,n,6,n,n,n
2023-04-03 07:30:00,32.2,n,n,n,20,n,n,n,12,n,n,n,27.9,n,n,n,20,n,n,n,6,n,n,n,22.9,n,n,n,19.9,n,n,n,9.7,n,n,n,21.7,n,n,n,19,n,n,n,8,n,n,n
2023-04-03 08:30:00,32.2,n,n,n,18,n,n,n,6,n,n,n,32.3,n,n,n,27,n,n,n,6,n,n,n,17.5,n,n,n,11.9,n,n,n,7.4,n,n,n,28.2,n,n,n,17,n,n,n,7,n,n,n
2023-04-03 09:30:00,42.7,n,n,n,27,n,n,n,12,n,n,n,29.3,n,n,n,22,n,n,n,7,n,n,n,18.3,n,n,n,14.1,n,n,n,7.8,n,n,n,29.6,n,n,n,17,n,n,n,6,n,n,n
2023-04-03 10:30:00,42.4,n,n,n,18,n,n,n,13,n,n,n,24.1,n,n,n,19,n,n,n,7,n,n,n,32.6,n,n,n,12.7,n,n,n,8.7,n,n,n,22.9,n,n,n,n,n,n,n,n,n,n,n
2023-04-03 11:30:00,36.7,n,n,n,22,n,n,n,9,n,n,n,34.6,n,n,n,25,n,n,n,6,n,n,n,15.7,n,n,n,10.2,n,n,n,6.2,n,n,n,21.8,n,n,n,12,n,n,n,2,n,n,n
2023-04-03 12:00:00,n,n,30.1,VM,n,n,18.5,VM,n,n,9.5,VM,n,n,26.8,VM,n,n,21.1,VM,n,n,8.3,VM,n,n,17.7,VM,n,n,9.2,VM,n,n,6.3,VM,n,n,20.9,VM,n,n,n,n,n,n,6.7,VM
2023-04-03 12:30:00,28.9,n,n,n,16,n,n,n,11,n,n,n,40.7,n,n,n,40,n,n,n,11,n,n,n,9,n,n,n,8.6,n,n,n,5,n,n,n,16.9,n,n,n,18,n,n,n,5,n,n,n
2023-04-03 13:30:00,23.8,n,n,n,11,n,n,n,8,n,n,n,34.7,n,n,n,20,n,n,n,9,n,n,n,18.4,n,n,n,11.7,n,n,n,7.5,n,n,n,19.4,n,n,n,14,n,n,n,3,n,n,n
2023-04-03 14:30:00,31.2,n,n,n,23,n,n,n,7,n,n,n,23.9,n,n,n,19,n,n,n,12,n,n,n,12.6,n,n,n,8.5,n,n,n,5.3,n,n,n,15.4,n,n,n,18,n,n,n,7,n,n,n
2023-04-03 15:30:00,32.6,n,n,n,20,n,n,n,5,n,n,n,29.6,n,n,n,22,n,n,n,9,n,n,n,13.8,n,n,n,8.4,n,n,n,5.1,n,n,n,19.3,n,n,n,14,n,n,n,7,n,n,n
2023-04-03 16:30:00,41.8,n,n,n,22,n,n,n,3,n,n,n,42.4,n,n,n,30,n,n,n,6,n,n,n,27.7,n,n,n,15.7,n,n,n,11,n,n,n,29.6,n,n,n,n,n,n,n,5,n,n,n
2023-04-03 17:30:00,37.4,n,n,n,23,n,n,n,9,n,n,n,38.3,n,n,n,29,n,n,n,9,n,n,n,21.9,n,n,n,11.5,n,n,n,9.2,n,n,n,32.8,n,n,n,n,n,n,n,6,n,n,n
2023-04-03 18:30:00,29.9,n,n,n,24,n,n,n,7,n,n,n,36.8,n,n,n,27,n,n,n,7,n,n,n,25,n,n,n,9.8,n,n,n,8.6,n,n,n,32.2,n,n,n,n,n,n,n,8,n,n,n
