n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n,Rotina,n
Data,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag,Valor [µg/m3],Flag
2023-11-02 08:30:00,14.6,n,n,n,9,n,n,n,9,n,n,n,17.1,n,n,n,8,n,n,n,6,n,n,n,16.1,n,n,n,13,n,n,n,1,n,n,n,9.8,n,n,n,3,n,n,n,8,n,n,n
2023-11-02 09:30:00,12.8,n,n,n,8,n,n,n,6,n,n,n,16.9,n,n,n,9,n,n,n,6,n,n,n,11.3,n,n,n,13,n,n,n,3,n,n,n,10.2,n,n,n,5,n,n,n,8,n,n,n
2023-11-02 10:30:00,19.9,n,n,n,12,n,n,n,5,n,n,n,14.7,n,n,n,9,n,n,n,3,n,n,n,13.4,n,n,n,8,n,n,n,3,n,n,n,10.9,n,n,n,6,n,n,n,5,n,n,n
2023-11-02 11:30:00,n,n,n,n,n,n,n,n,n,n,n,n,17.9,n,n,n,8,n,n,n,5,n,n,n,23.8,n,n,n,17,n,n,n,5,n,n,n,9.2,n,n,n,3,n,n,n,7,n,n,n
2023-11-02 12:00:00,n,n,25,VM,n,n,14.9,VM,n,n,7.3,VM,n,n,20.8,VM,n,n,10.3,VM,n,n,7.2,VM,n,n,31.2,VM,n,n,18.9,VM,n,n,6.7,VM,n,n,14.2,VM,n,n,9.1,VM,n,n,6.6,VM
2023-11-02 12:30:00,n,n,n,n,n,n,n,n,n,n,n,n,13.4,n,n,n,7,n,n,n,7,n,n,n,17.3,n,n,n,14,n,n,n,8,n,n,n,8,n,n,n,n,n,n,n,7,n,n,n
2023-11-02 13:30:00,14.6,n,n,n,9,n,n,n,11,n,n,n,16.1,n,n,n,9,n,n,n,7,n,n,n,14.3,n,n,n,14,n,n,n,5,n,n,n,8.5,n,n,n,3,n,n,n,8,n,n,n
2023-11-02 14:30:00,13,n,n,n,9,n,n,n,6,n,n,n,12.8,n,n,n,7,n,n,n,5,n,n,n,12.8,n,n,n,13,n,n,n,2,n,n,n,7.9,n,n,n,5,n,n,n,7,n,n,n
2023-11-02 15:30:00,19.9,n,n,n,12,n,n,n,5,n,n,n,16.2,n,n,n,7,n,n,n,3,n,n,n,21.7,n,n,n,16,n,n,n,7,n,n,n,8.5,n,n,n,7,n,n,n,7,n,n,n
2023-11-02 16:30:00,13,n,n,n,8,n,n,n,7,n,n,n,20.9,n,n,n,8,n,n,n,5,n,n,n,27.3,n,n,n,12,n,n,n,7,n,n,n,23.4,n,n,n,12,n,n,n,5,n,n,n
2023-11-02 17:30:00,23.6,n,n,n,14,n,n,n,7,n,n,n,17.7,n,n,n,9,n,n,n,9,n,n,n,22.2,n,n,n,18,n,n,n,14,n,n,n,24.1,n,n,n,12,n,n,n,13,n,n,n
2023-11-02 18:30:00,27.1,n,n,n,16,n,n,n,8,n,n,n,30.5,n,n,n,13,n,n,n,8,n,n,n,89.2,n,n,n,41,n,n,n,12,n,n,n,29.1,n,n,n,11,n,n,n,9,n,n,n
2023-11-02 19:30:00,34.2,n,n,n,20,n,n,n,9,n,n,n,42.6,n,n,n,18,n,n,n,13,n,n,n,112.5,n,n,n,51,n,n,n,13,n,n,n,24.3,n,n,n,17,n,n,n,11,n,n,n
2023-11-02 20:30:00,43.1,n,n,n,25,n,n,n,11,n,n,n,39.7,n,n,n,20,n,n,n,13,n,n,n,60,n,n,n,31,n,n,n,8,n,n,n,28.6,n,n,n,16,n,n,n,8,n,n,n
2023-11-02 21:30:00,46.6,n,n,n,27,n,n,n,14,n,n,n,35.7,n,n,n,18,n,n,n,11,n,n,n,66.8,n,n,n,33,n,n,n,8,n,n,n,19.6,n,n,n,13,n,n,n,9,n,n,n
2023-11-02 22:30:00,34.2,n,n,n,20,n,n,n,11,n,n,n,21.7,n,n,n,12,n,n,n,9,n,n,n,33.5,n,n,n,20,n,n,n,11,n,n,n,2.8,n,n,n,12,n,n,n,7,n,n,n
2023-11-02 23:30:00,34.2,n,n,n,20,n,n,n,8,n,n,n,27.6,n,n,n,19,n,n,n,9,n,n,n,39.4,n,n,n,23,n,n,n,8,n,n,n,18.2,n,n,n,13,n,n,n,6,n,n,n
2023-11-03 00:30:00,30.7,n,n,n,18,n,n,n,6,n,n,n,24.4,n,n,n,7,n,n,n,9,n,n,n,91,n,n,n,25,n,n,n,11,n,n,n,17.9,n,n,n,16,n,n,n,7,n,n,n
2023-11-03 01:30:00,23.6,n,n,n,14,n,n,n,8,n,n,n,21.6,n,n,n,12,n,n,n,9,n,n,n,n,n,n,n,16,n,n,n,8,n,n,n,10.3,n,n,n,12,n,n,n,6,n,n,n
2023-11-03 02:30:00,n,n,n,n,n,n,n,n,n,n,n,n,20.4,n,n,n,11,n,n,n,6,n,n,n,9.9,n,n,n,19,n,n,n,12,n,n,n,12.2,n,n,n,12,n,n,n,7,n,n,n
2023-11-03 03:30:00,34.2,n,n,n,20,n,n,n,6,n,n,n,19.9,n,n,n,14,n,n,n,5,n,n,n,18.4,n,n,n,16,n,n,n,9,n,n,n,28.2,n,n,n,14,n,n,n,9,n,n,n
2023-11-03 04:30:00,27.1,n,n,n,16,n,n,n,6,n,n,n,21.5,n,n,n,12,n,n,n,7,n,n,n,20.7,n,n,n,14,n,n,n,5,n,n,n,6.6,n,n,n,14,n,n,n,12,n,n,n
2023-11-03 05:30:00,23.6,n,n,n,14,n,n,n,7,n,n,n,25,n,n,n,14,n,n,n,9,n,n,n,22.1,n,n,n,19,n,n,n,3,n,n,n,13.6,n,n,n,12,n,n,n,9,n,n,n
2023-11-03 06:30:00,39.5,n,n,n,23,n,n,n,7,n,n,n,31.5,n,n,n,19,n,n,n,11,n,n,n,28.1,n,n,n,24,n,n,n,11,n,n,n,31.9,n,n,n,14,n,n,n,8,n,n,n
2023-11-03 07:30:00,37.8,n,n,n,22,n,n,n,5,n,n,n,27.1,n,n,n,14,n,n,n,6,n,n,n,23.9,n,n,n,20,n,n,n,6,n,n,n,20.7,n,n,n,14,n,n,n,8,n,n,n
2023-11-03 08:30:00,34.2,n,n,n,20,n,n,n,3,n,n,n,24.2,n,n,n,11,n,n,n,12,n,n,n,21.8,n,n,n,17,n,n,n,8,n,n,n,10.7,n,n,n,11,n,n,n,7,n,n,n
2023-11-03 09:30:00,37.8,n,n,n,22,n,n,n,3,n,n,n,19.8,n,n,n,8,n,n,n,8,n,n,n,21.5,n,n,n,19,n,n,n,7,n,n,n,4.3,n,n,n,7,n,n,n,6,n,n,n
2023-11-03 10:30:00,23.6,n,n,n,14,n,n,n,2,n,n,n,58.3,n,n,n,11,n,n,n,5,n,n,n,22.7,n,n,n,17,n,n,n,5,n,n,n,91.2,n,n,n,8,n,n,n,9,n,n,n
